entrez_gene_id	symbol	description	chromosome	gene_type	synonyms	aliases
79948	PLPPR3	phospholipid phosphatase related 3	19	protein-coding	LPPR3|LPR3|PRG-2|PRG2	phospholipid phosphatase-related protein type 3|PAP-2-like protein 2|lipid phosphate phosphatase-related protein type 3|plasticity-related gene 2 protein
79949	PLEKHS1	pleckstrin homology domain containing S1	10	protein-coding	C10orf81|HEL185|bA211N11.2	pleckstrin homology domain-containing family S member 1|PH domain-containing family S member 1|PH domain-containing protein C10orf81|epididymis luminal protein 185
79953	SYNDIG1	synapse differentiation inducing 1	20	protein-coding	C20orf39|DSPC2|IFITMD5|TMEM90B	synapse differentiation-inducing gene protein 1|dispanin subfamily C member 2|interferon induced transmembrane protein domain containing 5|synapse differentiation induced gene 1|transmembrane protein 90B
79954	NOL10	nucleolar protein 10	2	protein-coding	PQBP5	nucleolar protein 10|H_NH0074G24.1|polyglutamine binding protein 5
79955	PDZD7	PDZ domain containing 7	10	protein-coding	DFNB57|PDZK7	PDZ domain-containing protein 7|deafness, autosomal recessive 57
79956	ERMP1	endoplasmic reticulum metallopeptidase 1	9	protein-coding	FXNA|KIAA1815|bA207C16.3	endoplasmic reticulum metallopeptidase 1|Felix-ina|aminopeptidase Fxna|bA207C16.3 (novel protein similar to predicted yeast, plant and worm proteins)
79957	PAQR6	progestin and adipoQ receptor family member 6	1	protein-coding	PRdelta	membrane progestin receptor delta|mPR delta|membrane progesterone P4 receptor delta|membrane progesterone receptor delta|progesterone and adipoQ receptor family member 6|progestin and adipoQ receptor family member VI variant 3|progestin and adipoQ receptor family member VI variant 4|progestin and adipoQ receptor family member VI variant 5
79958	DENND1C	DENN domain containing 1C	19	protein-coding	FAM31C	DENN domain-containing protein 1C|DENN/MADD domain containing 1C|connecdenn 3|family with sequence similarity 31, member C
79959	CEP76	centrosomal protein 76	18	protein-coding	C18orf9|HsT1705	centrosomal protein of 76 kDa|centrosomal protein 76kDa
79960	JADE1	jade family PHD finger 1	4	protein-coding	PHF17	protein Jade-1|PHD finger protein 17|PHD protein Jade-1|gene for apoptosis and differentiation in epithelia|jade family PHD finger protein 1
79961	DENND2D	DENN domain containing 2D	1	protein-coding		DENN domain-containing protein 2D|DENN/MADD domain containing 2D|RP5-1180E21.2
79962	DNAJC22	DnaJ heat shock protein family (Hsp40) member C22	12	protein-coding	wus	dnaJ homolog subfamily C member 22|DnaJ (Hsp40) homolog, subfamily C, member 22|wurst homolog
79963	ABCA11P	ATP binding cassette subfamily A member 11, pseudogene	4	pseudo	ABCA11|EST1133530	ATP-binding cassette, sub-family A (ABC1), member 11 (pseudogene)
79966	SCD5	stearoyl-CoA desaturase 5	4	protein-coding	ACOD4|FADS4|HSCD5|SCD2|SCD4	stearoyl-CoA desaturase 5|acyl-CoA-desaturase 4|stearoyl-CoA 9-desaturase|stearoyl-CoA desaturase 2|stearoyl-CoA desaturase 4
79968	WDR76	WD repeat domain 76	15	protein-coding	CDW14	WD repeat-containing protein 76
79969	ATAT1	alpha tubulin acetyltransferase 1	6	protein-coding	C6orf134|MEC17|Nbla00487|TAT|alpha-TAT|alpha-TAT1	alpha-tubulin N-acetyltransferase 1|acetyltransferase mec-17 homolog
79970	ZNF767P	zinc finger family member 767, pseudogene	7	pseudo	ZNF767	
79971	WLS	wntless Wnt ligand secretion mediator	1	protein-coding	C1orf139|EVI|GPR177|MRP|mig-14	protein wntless homolog|G protein-coupled receptor 177|integral membrane protein GPR177|protein evenness interrupted homolog|putative NF-kappa-B-activating protein 373|putative NFkB activating protein 373
79973	ZNF442	zinc finger protein 442	19	protein-coding		zinc finger protein 442
79974	CPED1	cadherin like and PC-esterase domain containing 1	7	protein-coding	C7orf58	cadherin-like and PC-esterase domain-containing protein 1
79977	GRHL2	grainyhead like transcription factor 2	8	protein-coding	BOM|DFNA28|ECTDS|TFCP2L3	grainyhead-like protein 2 homolog|brother of mammalian grainyhead|grainyhead-like 2|transcription factor CP2-like 3
79979	TRMT2B	tRNA methyltransferase 2 homolog B	X	protein-coding	CXorf34|dJ341D10.3	tRNA (uracil(54)-C(5))-methyltransferase homolog|TRM2 homolog|TRM2 tRNA methyltransferase 2 homolog B|tRNA (uracil-5-)-methyltransferase homolog
79980	DSN1	DSN1 homolog, MIS12 kinetochore complex component	20	protein-coding	C20orf172|KNL3|MIS13|dJ469A13.2|hKNL-3	kinetochore-associated protein DSN1 homolog|DSN1, MIND kinetochore complex component, homolog|DSN1, MIS12 kinetochore complex component|kinetochore null 3 homolog
79981	FRMD1	FERM domain containing 1	6	protein-coding	bA164L23.1	FERM domain-containing protein 1
79982	DNAJB14	DnaJ heat shock protein family (Hsp40) member B14	4	protein-coding	EGNR9427|PRO34683	dnaJ homolog subfamily B member 14|DnaJ (Hsp40) homolog, subfamily B, member 14
79983	POF1B	POF1B, actin binding protein	X	protein-coding	POF|POF2B	protein POF1B|premature ovarian failure protein 1B|premature ovarian failure, 1B
79986	ZNF702P	zinc finger protein 702, pseudogene	19	pseudo	ZNF702	
79987	SVEP1	sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1	9	protein-coding	C9orf13|CCP22|POLYDOM|SEL-OB|SELOB	sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1|CCP module-containing protein 22|selectin-like osteoblast-derived protein|selectin-like protein|serologically defined breast cancer antigen NY-BR-38
79989	TTC26	tetratricopeptide repeat domain 26	7	protein-coding	DYF13|IFT56|dyf-13	intraflagellar transport protein 56|TPR repeat protein 26|tetratricopeptide repeat protein 26
79990	PLEKHH3	pleckstrin homology, MyTH4 and FERM domain containing H3	17	protein-coding		pleckstrin homology domain-containing family H member 3|PH domain-containing family H member 3|pleckstrin homology domain containing, family H (with MyTH4 domain) member 3
79991	STN1	STN1, CST complex subunit	10	protein-coding	AAF-44|AAF44|OBFC1|RPA-32|bA541N10.2	CST complex subunit STN1|alpha accessory factor 44|oligonucleotide/oligosaccharide binding fold containing 1|oligonucleotide/oligosaccharide-binding fold-containing protein 1|replication protein A 32 kDa subunit|suppressor of cdc thirteen homolog
79992	AGPAT4-IT1	AGPAT4 intronic transcript 1	6	ncRNA	C6orf59|NCRNA00241	AGPAT4 intronic transcript 1 (non-protein coding)
79993	ELOVL7	ELOVL fatty acid elongase 7	5	protein-coding		elongation of very long chain fatty acids protein 7|3-keto acyl-CoA synthase ELOVL7|ELOVL FA elongase 7|ELOVL family member 7, elongation of long chain fatty acids|very long chain 3-ketoacyl-CoA synthase 7|very long chain 3-oxoacyl-CoA synthase 7
79998	ANKRD53	ankyrin repeat domain 53	2	protein-coding		ankyrin repeat domain-containing protein 53
79999	LOC79999	uncharacterized protein ENSP00000382033	17	protein-coding		uncharacterized protein ENSP00000382033
80000	GREB1L	GREB1 like retinoic acid receptor coactivator	18	protein-coding	C18orf6|KIAA1772|RHDA3	GREB1-like protein|growth regulation by estrogen in breast cancer 1 like|growth regulation by estrogen in breast cancer 1-like protein|growth regulation by estrogen in breast cancer-like
80003	PCNX2	pecanex homolog 2	1	protein-coding	PCNXL2	pecanex-like protein 2
80004	ESRP2	epithelial splicing regulatory protein 2	16	protein-coding	RBM35B	epithelial splicing regulatory protein 2|RNA binding motif protein 35A|RNA-binding motif protein 35B|RNA-binding protein 35B
80005	DOCK5	dedicator of cytokinesis 5	8	protein-coding		dedicator of cytokinesis protein 5
80006	TRAPPC13	trafficking protein particle complex 13	5	protein-coding	C5orf44	trafficking protein particle complex subunit 13|Trs65-related|UPF0533 protein C5orf44
80007	C10orf88	chromosome 10 open reading frame 88	10	protein-coding		uncharacterized protein C10orf88
80008	TMEM156	transmembrane protein 156	4	protein-coding		transmembrane protein 156
80010	RMI1	RecQ mediated genome instability 1	9	protein-coding	BLAP75|C9orf76|FAAP75	recQ-mediated genome instability protein 1|BLM-associated polypeptide, 75 kDa|BLM-associated protein 75 kDa|RMI1, RecQ mediated genome instability 1, homolog|homolog of yeast RecQ-mediated genome instability 1 (RMI1)
80011	FAM192A	family with sequence similarity 192 member A	16	protein-coding	C16orf94|CDA018|CDA10|NIP30	protein FAM192A|NEFA-interacting nuclear protein NIP30
80012	PHC3	polyhomeotic homolog 3	3	protein-coding	EDR3|HPH3	polyhomeotic-like protein 3|early development regulator 3|early development regulatory protein 3|homolog of polyhomeotic 3|polyhomeotic like 3
80013	MINDY3	MINDY lysine 48 deubiquitinase 3	10	protein-coding	C10orf97|CARP|DERP5|FAM188A|MST126|MSTP126|my042	ubiquitin carboxyl-terminal hydrolase MINDY-3|CARD-containing protein|MINDY deubiquitinase 3|caspase recruitment domain containing pro-apoptotic protein|dermal papilla-derived protein 5|deubiquitinating enzyme MINDY-3|family with sequence similarity 188 member A|protein FAM188A|ubiquitin carboxyl-terminal hydrolase FAM188A
80014	WWC2	WW and C2 domain containing 2	4	protein-coding	BOMB	protein WWC2|BH3-only member B protein|WW, C2 and coiled-coil domain containing 2
80017	DGLUCY	D-glutamate cyclase	14	protein-coding	C14orf159	D-glutamate cyclase, mitochondrial|UPF0317 protein C14orf159, mitochondrial
80018	NAA25	N(alpha)-acetyltransferase 25, NatB auxiliary subunit	12	protein-coding	C12orf30|MDM20|NAP1	N-alpha-acetyltransferase 25, NatB auxiliary subunit|N-terminal acetyltransferase B complex subunit NAA25|mitochondrial distribution and morphology 20|natB complex subunit MDM20
80019	UBTD1	ubiquitin domain containing 1	10	protein-coding		ubiquitin domain-containing protein 1
80020	FOXRED2	FAD dependent oxidoreductase domain containing 2	22	protein-coding	ERFAD	FAD-dependent oxidoreductase domain-containing protein 2|ER flavoprotein associated with degradation|endoplasmic reticulum flavoprotein associated with degradation
80021	TMEM62	transmembrane protein 62	15	protein-coding		transmembrane protein 62
80022	MYO15B	myosin XVB	17	protein-coding	MYO15BP	myosin XVB|myosin XVB pseudogene|unconventional myosin XVBP pseudogene
80023	NRSN2	neurensin 2	20	protein-coding	C20orf98|dJ1103G7.6	neurensin-2
80024	SLC8B1	solute carrier family 8 member B1	12	protein-coding	NCKX6|NCLX|SLC24A6	mitochondrial sodium/calcium exchanger protein|Na(+)/K(+)/Ca(2+)-exchange protein 6|sodium/calcium exchanger protein, mitochondrial|sodium/potassium/calcium exchanger 6, mitochondrial|solute carrier family 24 (sodium/lithium/calcium exchanger), member 6|solute carrier family 24 (sodium/potassium/calcium exchanger), member 6|solute carrier family 24 member 6|solute carrier family 8 (sodium/lithium/calcium exchanger), member B1
80025	PANK2	pantothenate kinase 2	20	protein-coding	C20orf48|HARP|HSS|NBIA1|PKAN	pantothenate kinase 2, mitochondrial|Hallervorden-Spatz syndrome|pantothenic acid kinase 2
80028	FBXL18	F-box and leucine rich repeat protein 18	7	protein-coding	Fbl18	F-box/LRR-repeat protein 18
80031	SEMA6D	semaphorin 6D	15	protein-coding		semaphorin-6D|sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6D
80032	ZNF556	zinc finger protein 556	19	protein-coding		zinc finger protein 556
80034	CSRNP3	cysteine and serine rich nuclear protein 3	2	protein-coding	FAM130A2|PPP1R73|TAIP-2|TAIP2	cysteine/serine-rich nuclear protein 3|TGF-beta induced apoptosis protein 2|family with sequence similarity 130, member A2|protein phosphatase 1, regulatory subunit 73
80035	ANP32A-IT1	ANP32A intronic transcript 1	15	ncRNA	C15orf28|HsT18971|NCRNA00321	ANP32A intronic transcript 1 (non-protein coding)
80036	TRPM3	transient receptor potential cation channel subfamily M member 3	9	protein-coding	GON-2|LTRPC3|MLSN2	transient receptor potential cation channel subfamily M member 3|LTrpC-3|long transient receptor potential channel 3|melastatin-2
80039	FAM106A	family with sequence similarity 106 member A	17	protein-coding		protein FAM106A
80045	GPR157	G protein-coupled receptor 157	1	protein-coding		G-protein coupled receptor 157|probable G-protein coupled receptor 157
80052	RPS2P45	ribosomal protein S2 pseudogene 45	16	pseudo	RPS2_21_1492	
80054	CEBPA-DT	CEBPA divergent transcript	19	ncRNA	CEBPA-AS1	CEBPA antisense RNA 1 (head to head)|CEBPA antisense RNA 1 (non-protein coding)
80055	PGAP1	post-GPI attachment to proteins 1	2	protein-coding	Bst1|ISPD3024|MRT42|SPG67	GPI inositol-deacylase|post-GPI attachment to proteins factor 1
80059	LRRTM4	leucine rich repeat transmembrane neuronal 4	2	protein-coding		leucine-rich repeat transmembrane neuronal protein 4
80060	GNL3LP1	G protein nucleolar 3 like pseudogene 1	5	pseudo	GNL3LP	guanine nucleotide binding protein-like 3 (nucleolar)-like pseudogene 1
80063	ATF7IP2	activating transcription factor 7 interacting protein 2	16	protein-coding	MCAF2	activating transcription factor 7-interacting protein 2|ATF7-interacting protein 2|MBD1-containing chromatin associated factor 2
80067	DCAF17	DDB1 and CUL4 associated factor 17	2	protein-coding	C20orf37|C2orf37	DDB1- and CUL4-associated factor 17
80069	LINC00574	long intergenic non-protein coding RNA 574	6	ncRNA	C6orf208|dJ182D15.1	
80070	ADAMTS20	ADAM metallopeptidase with thrombospondin type 1 motif 20	12	protein-coding	ADAM-TS20|ADAMTS-20|GON-1	A disintegrin and metalloproteinase with thrombospondin motifs 20|a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 20
80071	CCDC15	coiled-coil domain containing 15	11	protein-coding		coiled-coil domain-containing protein 15
80072	HEXA-AS1	HEXA antisense RNA 1	15	ncRNA	C15orf34	HEXA antisense RNA 1 (non-protein coding)
80078	LCAL1	lung cancer associated lncRNA 1	6	ncRNA	onco-lncRNA-27	
80086	TUBA4B	tubulin alpha 4b	2	protein-coding	TUBA4	putative tubulin-like protein alpha-4B|tubulin, alpha 4|tubulin, alpha 4b (pseudogene)
80094	BIN3-IT1	BIN3 intronic transcript 1	8	ncRNA		BIN3 intronic transcript 1 (non-protein coding)
80095	ZNF606	zinc finger protein 606	19	protein-coding	ZNF328	zinc finger protein 606|zinc finger protein 328
80097	MZT2B	mitotic spindle organizing protein 2B	2	protein-coding	FAM128B|MOZART2B	mitotic-spindle organizing protein 2B|family with sequence similarity 128, member B|mitotic-spindle organizing protein associated with a ring of gamma-tubulin 2B
80099	C7orf69	chromosome 7 open reading frame 69	7	protein-coding		uncharacterized protein C7orf69
80108	ZFP2	ZFP2 zinc finger protein	5	protein-coding	ZNF751|zfp-2	zinc finger protein 2 homolog|zinc finger protein 751
80110	ZNF614	zinc finger protein 614	19	protein-coding		zinc finger protein 614
80111	C3orf36	chromosome 3 open reading frame 36	3	protein-coding		uncharacterized protein C3orf36
80114	BICC1	BicC family RNA binding protein 1	10	protein-coding	BICC|CYSRD	protein bicaudal C homolog 1|FGFR2-BICC1 fusion kinase protein|bicaudal C homolog 1
80115	BAIAP2L2	BAI1 associated protein 2 like 2	22	protein-coding		brain-specific angiogenesis inhibitor 1-associated protein 2-like protein 2|BAI1-associated protein 2-like protein 2|pinkbar|planar intestinal- and kidney-specific BAR domain protein
80117	ARL14	ADP ribosylation factor like GTPase 14	3	protein-coding	ARF7	ADP-ribosylation factor-like protein 14|ADP-ribosylation factor 7|ADP-ribosylation factor-like 14
80119	PIF1	PIF1 5'-to-3' DNA helicase	15	protein-coding	C15orf20|PIF	ATP-dependent DNA helicase PIF1|DNA repair and recombination helicase PIF1|PIF1 5'-to-3' DNA helicase homolog|PIF1/RRM3 DNA helicase-like protein|petite integration frequency 1
80122	MAP3K19	mitogen-activated protein kinase kinase kinase 19	2	protein-coding	RCK|YSK4	mitogen-activated protein kinase kinase kinase 19|SPS1/STE20-related protein kinase YSK4|YSK4 Sps1/Ste20-related kinase homolog|regulated in COPD kinase|regulated in COPD, protein kinase|yeast Sps1/Ste20-related kinase 4
80124	VCPIP1	valosin containing protein interacting protein 1	8	protein-coding	DUBA3|VCIP135	deubiquitinating protein VCIP135|VCP/p47 complex-interacting 135-kDa protein|valosin-containing protein p97/p47 complex-interacting protein 1|valosin-containing protein p97/p47 complex-interacting protein p135
80125	CCDC33	coiled-coil domain containing 33	15	protein-coding	CT61|HP11097	coiled-coil domain-containing protein 33|cancer/testis antigen 61|hypothetical protein HP11097
80127	BBOF1	basal body orientation factor 1	14	protein-coding	C14orf45|CCDC176	basal body-orientation factor 1|coiled-coil domain containing 176|coiled-coil domain-containing protein 176
80128	TRIM46	tripartite motif containing 46	1	protein-coding	GENEY|TRIFIC	tripartite motif-containing protein 46|gene Y protein|tripartite, fibronectin type-III and C-terminal SPRY motif protein
80129	CCDC170	coiled-coil domain containing 170	6	protein-coding	C6orf97|bA282P11.1	coiled-coil domain-containing protein 170
80131	LRRC8E	leucine rich repeat containing 8 VRAC subunit E	19	protein-coding		volume-regulated anion channel subunit LRRC8E|leucine rich repeat containing 8 family member E|leucine-rich repeat-containing protein 8E
80133	MROH9	maestro heat like repeat family member 9	1	protein-coding	ARMC11|C1orf129	maestro heat-like repeat-containing protein family member 9|armadillo repeat containing 11
80135	RPF1	ribosome production factor 1 homolog	1	protein-coding	BXDC5	ribosome production factor 1|2310066N05Rik|RNA processing factor 1 (RPF1)|brix domain containing 5|brix domain-containing protein 5|ribosome biogenesis protein RPF1
80139	ZNF703	zinc finger protein 703	8	protein-coding	NLZ1|ZEPPO1|ZNF503L|ZPO1	zinc finger protein 703|zinc finger elbow-related proline domain protein 1
80142	PTGES2	prostaglandin E synthase 2	9	protein-coding	C9orf15|GBF-1|GBF1|PGES2|mPGES-2	prostaglandin E synthase 2|GATE-binding factor 1|gamma-interferon-activated transcriptional element-binding factor 1|mPGE synthase-2|membrane-associated prostaglandin E synthase 2|microsomal prostaglandin E synthase-2|prostaglandin-H(2) E-isomerase
80143	SIKE1	suppressor of IKBKE 1	1	protein-coding	SIKE	suppressor of IKBKE 1|suppressor of IKK epsilon
80144	FRAS1	Fraser extracellular matrix complex subunit 1	4	protein-coding	FRASRS1	extracellular matrix protein FRAS1|Fraser syndrome 1
80145	THOC7	THO complex 7	3	protein-coding	NIF3L1BP1|fSAP24|hTREX30	THO complex subunit 7 homolog|NIF3L1-binding protein 1|Ngg1 interacting factor 3 like 1 binding protein 1|THO complex 7 homolog|functional spliceosome-associated protein 24|ngg1-interacting factor 3-like protein 1-binding protein 1
80146	UXS1	UDP-glucuronate decarboxylase 1	2	protein-coding	SDR6E1|UGD	UDP-glucuronic acid decarboxylase 1|UXS-1|short chain dehydrogenase/reductase family 6E, member 12
80148	PQLC1	PQ loop repeat containing 1	18	protein-coding		PQ-loop repeat-containing protein 1
80149	ZC3H12A	zinc finger CCCH-type containing 12A	1	protein-coding	MCPIP|MCPIP-1|MCPIP1|Reg1|dJ423B22.1	endoribonuclease ZC3H12A|MCP-1 treatment-induced protein|MCP-induced protein 1|bifunctional endoribonuclease and deubiquitinase ZC3H12A|monocyte chemotactic protein-induced protein 1|regnase-1|ribonuclease ZC3H12A|zinc finger CCCH domain-containing protein 12A
80150	ASRGL1	asparaginase like 1	11	protein-coding	ALP|ALP1|CRASH	isoaspartyl peptidase/L-asparaginase|L-asparaginase|L-asparagine amidohydrolase|asparaginase-like 1 protein|asparaginase-like protein 1|beta-aspartyl-peptidase|isoaspartyl dipeptidase|testis secretory sperm-binding protein Li 242mP
80152	CENPT	centromere protein T	16	protein-coding	C16orf56|CENP-T	centromere protein T|interphase centromere complex protein 22
80153	EDC3	enhancer of mRNA decapping 3	15	protein-coding	LSM16|MRT50|YJDC|YJEFN2|hYjeF_N2-15q23	enhancer of mRNA-decapping protein 3|LSM16 homolog (EDC3, S. cerevisiae)|enhancer of mRNA decapping 3 homolog|yjeF N-terminal domain-containing protein 2|yjeF domain containing|yjeF domain-containing protein 1
80154	GOLGA2P10	golgin A2 pseudogene 10	15	pseudo		antigen SK1, colon cancer-associated|golgin subfamily A member 2-like
80155	NAA15	N(alpha)-acetyltransferase 15, NatA auxiliary subunit	4	protein-coding	Ga19|MRD50|NARG1|NAT1P|NATH|TBDN|TBDN100	N-alpha-acetyltransferase 15, NatA auxiliary subunit|N-terminal acetyltransferase|NMDA receptor regulated 1|NMDA receptor-regulated protein 1|gastric cancer antigen Ga19|protein tubedown-1|transcriptional coactivator tubedown-100|tubedown-1
80157	CWH43	cell wall biogenesis 43 C-terminal homolog	4	protein-coding	CWH43-C|PGAP2IP	PGAP2-interacting protein|cell wall biogenesis protein 43 C-terminal homolog
80161	ASMTL-AS1	ASMTL antisense RNA 1	X|Y	ncRNA	ASMTL-AS|ASMTLAS|CXYorf2|NCRNA00105	ASMTL antisense RNA 1 (non-protein coding)
80162	PGGHG	protein-glucosylgalactosylhydroxylysine glucosidase	11	protein-coding	ATHL1	protein-glucosylgalactosylhydroxylysine glucosidase|ATH1, acid trehalase-like 1|acid trehalase-like protein 1|testicular tissue protein Li 25
80164	PRR36	proline rich 36	19	protein-coding		proline-rich protein 36
80167	ABHD18	abhydrolase domain containing 18	4	protein-coding	C4orf29	protein ABHD18|abhydrolase domain-containing protein 18|alpha/beta hydrolase domain-containing protein 18
80168	MOGAT2	monoacylglycerol O-acyltransferase 2	11	protein-coding	DGAT2L5|DGAT2L5.|MGAT2|hDC5	2-acylglycerol O-acyltransferase 2|acyl-CoA:monoacylglycerol acyltransferase 2|diacylglycerol O-acyltransferase candidate 5|diacylglycerol acyltransferase 2-like protein 5
80169	CTC1	CST telomere replication complex component 1	17	protein-coding	AAF-132|AAF132|C17orf68|CRMCC|tmp494178	CST complex subunit CTC1|CST telomere maintenance complex component 1|CTS telomere maintenance complex component 1|HBV DNAPTP1-transactivated protein B|alpha accessory factor 132|conserved telomere capping protein 1
80173	IFT74	intraflagellar transport 74	9	protein-coding	BBS20|CCDC2|CMG-1|CMG1	intraflagellar transport protein 74 homolog|capillary morphogenesis gene 1 protein|capillary morphogenesis protein 1|coiled-coil domain containing 2|coiled-coil domain-containing protein 2|intraflagellar transport 74 homolog
80174	DBF4B	DBF4 zinc finger B	17	protein-coding	ASKL1|CHIFB|DRF1|ZDBF1B	protein DBF4 homolog B|ASK-like protein 1|DBF4 homolog B|Dbf4-related factor 1|activator of S-phase kinase-like protein 1|chiffon homolog B|zinc finger, DBF-type containing 1B
80176	SPSB1	splA/ryanodine receptor domain and SOCS box containing 1	1	protein-coding	SSB-1|SSB1	SPRY domain-containing SOCS box protein 1|SPRY domain-containing SOCS box protein SSB-1|novel SPRY domain containing protein
80177	MYCT1	MYC target 1	6	protein-coding	MTLC	myc target protein 1|myc target in myeloid cells 1|myc target in myeloid cells protein 1
80178	TEDC2	tubulin epsilon and delta complex 2	16	protein-coding	C16orf59	tubulin epsilon and delta complex protein 2|uncharacterized protein C16orf59
80179	MYO19	myosin XIX	17	protein-coding	MYOHD1	unconventional myosin-XIX|myosin head domain containing 1|myosin head domain-containing protein 1
80183	RUBCNL	RUN and cysteine rich domain containing beclin 1 interacting protein like	13	protein-coding	C13orf18|KIAA0226L|PACER	protein RUBCNL-like|KIAA0226 like|protein associated with UVRAG as autophagy enhancer
80184	CEP290	centrosomal protein 290	12	protein-coding	3H11Ag|BBS14|CT87|JBTS5|LCA10|MKS4|NPHP6|POC3|SLSN6|rd16	centrosomal protein of 290 kDa|Bardet-Biedl syndrome 14 protein|CTCL tumor antigen se2-2|Meckel syndrome, type 4|POC3 centriolar protein homolog|cancer/testis antigen 87|centrosomal protein 290kDa|monoclonal antibody 3H11 antigen|nephrocytsin-6|prostate cancer antigen T21|tumor antigen se2-2
80185	TTI2	TELO2 interacting protein 2	8	protein-coding	C8orf41|MRT39	TELO2-interacting protein 2|Tel2 interacting protein 2 homolog
80194	TMEM134	transmembrane protein 134	11	protein-coding		transmembrane protein 134
80195	TMEM254	transmembrane protein 254	10	protein-coding	C10orf57|bA369J21.6	transmembrane protein 254|transmembrane protein C10orf57
80196	RNF34	ring finger protein 34	12	protein-coding	CARP-1|CARP1|RFI|RIF|RIFF|hRFI	E3 ubiquitin-protein ligase RNF34|FYVE-RING finger protein MOMO|RING finger protein RIFF|RING-type E3 ubiquitin transferase RNF34|caspase regulator CARP1|caspases-8 and -10-associated RING finger protein 1|human RING finger homologous to inhibitor of apoptosis protein|ring finger protein 34, E3 ubiquitin protein ligase
80198	MUS81	MUS81 structure-specific endonuclease subunit	11	protein-coding	SLX3	crossover junction endonuclease MUS81|MUS81 endonuclease homolog|SLX3 structure-specific endonuclease subunit homolog
80199	FUZ	fuzzy planar cell polarity protein	19	protein-coding	CPLANE3|FY|NTD	protein fuzzy homolog|ciliogenesis and planar polarity effector 3|fuzzy homolog
80201	HKDC1	hexokinase domain containing 1	10	protein-coding		putative hexokinase HKDC1|hexokinase domain-containing protein 1
80204	FBXO11	F-box protein 11	2	protein-coding	FBX11|PRMT9|UBR6|UG063H01|VIT1	F-box only protein 11|protein arginine N-methyltransferase 9|ubiquitin protein ligase E3 component n-recognin 6|vitiligo-associated protein 1|vitiligo-associated protein VIT-1
80205	CHD9	chromodomain helicase DNA binding protein 9	16	protein-coding	AD013|CHD-9|CReMM|KISH2|PRIC320	chromodomain-helicase-DNA-binding protein 9|ATP-dependent helicase CHD9|PPAR-alpha-interacting complex protein 320 kDa|PPAR{gamma}-interacting cofactor 320 kDa|chromatin remodeling factor CHROM1|chromatin-related mesenchymal modulator|ciprofibrate bound protein p240|kismet homolog 2|peroxisomal proliferator-activated receptor A-interacting complex 320 kDa protein|proteinx0008
80206	FHOD3	formin homology 2 domain containing 3	18	protein-coding	FHOS2|Formactin2	FH1/FH2 domain-containing protein 3|formactin-2|formin homolog overexpressed in spleen 2
80207	OPA3	OPA3, outer mitochondrial membrane lipid metabolism regulator	19	protein-coding	MGA3	optic atrophy 3 protein|Optic atrophy 3 (Iraqi-Jewish 'optic atrophy plus')|optic atrophy 3 (autosomal recessive, with chorea and spastic paraplegia)
80208	SPG11	SPG11, spatacsin vesicle trafficking associated	15	protein-coding	ALS5|CMT2X|KIAA1840	spatacsin|colorectal carcinoma-associated protein|spastic paraplegia 11 (autosomal recessive)|spastic paraplegia 11 protein
80209	PROSER1	proline and serine rich 1	13	protein-coding	C13orf23	proline and serine-rich protein 1
80210	ARMC9	armadillo repeat containing 9	2	protein-coding	ARM|JBTS30|KU-MEL-1|NS21	lisH domain-containing protein ARMC9|armadillo repeat-containing protein 9|armadillo/beta-catenin-like repeats|melanoma/melanocyte specific protein KU-MEL-1|melanoma/melanocyte-specific tumor antigen KU-MEL-1
80212	CCDC92	coiled-coil domain containing 92	12	protein-coding		coiled-coil domain-containing protein 92|limkain beta 2
80213	TM2D3	TM2 domain containing 3	15	protein-coding	BLP2	TM2 domain-containing protein 3|BBP-like protein 2|almondex homolog|beta-amyloid-binding protein-like protein 2
80215	RUNX1-IT1	RUNX1 intronic transcript 1	21	ncRNA	C21orf96	RUNX1 intronic transcript 1 (non-protein coding)
80216	ALPK1	alpha kinase 1	4	protein-coding	8430410J10Rik|LAK	alpha-protein kinase 1|chromosome 4 kinase|lymphocyte alpha-kinase|lymphocyte alpha-protein kinase
80217	CFAP43	cilia and flagella associated protein 43	10	protein-coding	C10orf79|SPGF19|WDR96|bA373N18.2	cilia- and flagella-associated protein 43|WD repeat domain 96|WD repeat-containing protein 96|WD repeat-containing protein C10orf79
80218	NAA50	N(alpha)-acetyltransferase 50, NatE catalytic subunit	3	protein-coding	MAK3|NAT13|NAT13P|NAT5|NAT5P|SAN|hNaa50p	N-alpha-acetyltransferase 50|N-acetyltransferase 13 (GCN5-related)|N-acetyltransferase 5|N-acetyltransferase san homolog|N-epsilon-acetyltransferase 50|natE catalytic subunit
80219	COQ10B	coenzyme Q10B	2	protein-coding		coenzyme Q-binding protein COQ10 homolog B, mitochondrial|coenzyme Q10 homolog B
80221	ACSF2	acyl-CoA synthetase family member 2	17	protein-coding	ACSMW|AVYV493	acyl-CoA synthetase family member 2, mitochondrial|PPARG binding, long chain fatty acid acyl Co-A ligase like
